parent_product_id,component_product_id,usage_qty
00001-A010001,00001-B010001,1
00001-A010002,00001-B010002,1
00001-A010003,00001-B010003,1
00001-A010004,00001-B010004,1
00001-A010005,00001-B010005,1
00001-A010006,00001-B010006,1
00001-A010007,00001-B010007,1
00001-A010008,00001-B010008,1
00001-A010009,00001-B010009,1
00001-A010010,00001-B010010,1
00001-A010011,00001-B010011,1
00001-A010012,00001-B010012,1
00001-A010013,00001-B010013,1
00001-A010014,00001-B010014,1
00001-A010015,00001-B010015,1
00001-A010016,00001-B010016,1
00001-A010017,00001-B010017,1
00001-A010018,00001-B010018,1
00001-A010019,00001-B010019,1
00001-A010020,00001-B010020,1
00001-A010021,00001-B010021,1
00001-A010022,00001-B010022,1
00001-A010023,00001-B010023,1
00001-A010024,00001-B010024,1
00001-A010025,00001-B010025,1
00001-A010026,00001-B010026,1
00001-A010027,00001-B010027,1
00001-A010028,00001-B010028,1
00001-A010029,00001-B010029,1
00001-A010030,00001-B010030,1
00001-A010031,00001-B010031,1
00001-A010032,00001-B010032,1
00001-A010033,00001-B010033,1
00001-A010034,00001-B010034,1
00001-A010035,00001-B010035,1
00001-A010036,00001-B010036,1
00001-A010037,00001-B010037,1
00001-A010038,00001-B010038,1
00001-A010039,00001-B010039,1
00001-A010040,00001-B010040,1
00001-A010041,00001-B010041,1
00001-A010042,00001-B010042,1
00001-A010043,00001-B010043,1
00001-A010044,00001-B010044,1
00001-A010045,00001-B010045,1
00001-A010046,00001-B010046,1
00001-A010047,00001-B010047,1
00001-A010048,00001-B010048,1
00001-A010049,00001-B010049,1
00001-A010050,00001-B010050,1
00001-A010051,00001-B010051,1
00001-A010052,00001-B010052,1
00001-A010053,00001-B010053,1
00001-A010054,00001-B010054,1
00001-A010055,00001-B010055,1
00001-A010056,00001-B010056,1
00001-A010057,00001-B010057,1
00001-A010058,00001-B010058,1
00001-A010059,00001-B010059,1
00001-A010060,00001-B010060,1
00001-A010061,00001-B010061,1
00001-A010062,00001-B010062,1
00001-A010063,00001-B010063,1
00001-A010064,00001-B010064,1
00001-A010065,00001-B010065,1
00001-A010066,00001-B010066,1
00001-A010067,00001-B010067,1
00001-A010068,00001-B010068,1
00001-A010069,00001-B010069,1
00001-A010070,00001-B010070,1
00001-A010071,00001-B010071,1
00001-A010072,00001-B010072,1
00001-A010073,00001-B010073,1
00001-A010074,00001-B010074,1
00001-A010075,00001-B010075,1
00001-A010076,00001-B010076,1
00001-A010077,00001-B010077,1
