product_code,product_name,product_specification,product_type,product_category
00001-A010001,AS-005[RX],2.57*1.78_5080W,제품,O-RING (제품)
00001-A010002,AS-006[R1],2.9*1.78_5080W,제품,O-RING (제품)
00001-A010003,AS-007[R1],3.68*1.78_5080W,제품,O-RING (제품)
00001-A010004,AS-008[R1],4.47*1.78_5080W,제품,O-RING (제품)
00001-A010005,AS-010[R1],6.07*1.78_5080W,제품,O-RING (제품)
00001-A010006,AS-011[R1],7.65*1.78_5080W,제품,O-RING (제품)
00001-A010007,AS-012[R1],9.25*1.78_5080W,제품,O-RING (제품)
00001-A010008,AS-013[R1],10.82*1.78_5080W,제품,O-RING (제품)
00001-A010009,AS-014[R1],12.42*1.78_5080W,제품,O-RING (제품)
00001-A010010,AS-016[R1],15.60*1.78_5080W,제품,O-RING (제품)
00001-A010011,AS-017[R1],17.17*1.78_5080W,제품,O-RING (제품)
00001-A010012,AS-019[R1],20.35*1.78_5080W,제품,O-RING (제품)
00001-A010013,AS-022[R1],25.12*1.78_5080W,제품,O-RING (제품)
00001-A010014,AS-023[R1],26.7*1.78_5080W,제품,O-RING (제품)
00001-A010015,AS-024[R1],28.30*1.78_5080W,제품,O-RING (제품)
00001-A010016,AS-025[R1],29.97*1.78_5080W,제품,O-RING (제품)
00001-A010017,AS-026[R1],31.47*1.78_5080W,제품,O-RING (제품)
00001-A010018,AS-030[R1],41.00*1.78_5080W,제품,O-RING (제품)
00001-A010019,AS-033[R1],50.52*1.78_5080W,제품,O-RING (제품)
00001-A010020,AS-034[R1],53.70*1.78_5080W,제품,O-RING (제품)
00001-A010021,AS-039[RX],69.57*1.78_5080W,제품,O-RING (제품)
00001-A010022,AS-041[RX],75.92*1.78_5080W,제품,O-RING (제품)
00001-A010023,AS-043[RX],88.62*1.78_5080W,제품,O-RING (제품)
00001-A010024,AS-105[R1],3.63*2.62_5080W,제품,O-RING (제품)
00001-A010025,AS-107[R1],5.23*2.62_5080W,제품,O-RING (제품)
00001-A010026,AS-108[R1],6.02*2.62_5080W,제품,O-RING (제품)
00001-A010027,AS-109[R1],7.59*2.62_5080W,제품,O-RING (제품)
00001-A010028,AS-110[R1],9.19*2.62_5080W,제품,O-RING (제품)
00001-A010029,AS-111[R1],10.77*2.62_5080W,제품,O-RING (제품)
00001-A010030,AS-112[R1],12.37*2.62_5080W,제품,O-RING (제품)
00001-A010031,AS-113[R1],13.94*2.62_5080W,제품,O-RING (제품)
00001-A010032,AS-114[R1],15.54*2.62_5080W,제품,O-RING (제품)
00001-A010033,"AS-115[R1,COA]",17.12*2.62_5080W,제품,O-RING (제품)
00001-A010034,AS-116[R1],18.72*2.62_5080W,제품,O-RING (제품)
00001-A010035,AS-117[R1],20.30*2.62_5080W,제품,O-RING (제품)
00001-A010036,AS-119[R1],23.47*2.62_5080W,제품,O-RING (제품)
00001-A010037,AS-120[R1],25.07*2.62_5080W,제품,O-RING (제품)
00001-A010038,AS-121[R1],26.64*2.62_5080W,제품,O-RING (제품)
00001-A010039,AS-122[R1],28.24*2.62_5080W,제품,O-RING (제품)
00001-A010040,AS-123[R1],29.82*2.62_5080W,제품,O-RING (제품)
00001-A010041,AS-124[R1],31.42*2.62_5080W,제품,O-RING (제품)
00001-A010042,AS-125[R1],32.99*2.62_5080W,제품,O-RING (제품)
00001-A010043,AS-126[R1],34.59*2.62_5080W,제품,O-RING (제품)
00001-A010044,AS-127[R1],36.17*2.62_5080W,제품,O-RING (제품)
